X,Y,tunniste,objektinVoimassaoloaika,haetunDatanVoimassaoloaika,rata,ratanumero,ratakm,pituus,seuraavaKilometrimerkki,icon_url
24.9901220846032,64.470505203344,1.2.246.586.1.41.1006833158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","683","1000",1.2.246.586.1.41.1006843158072,./0.png
24.8668392949831,63.9726733284811,1.2.246.586.1.41.1006833160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","683","1000",1.2.246.586.1.41.1006843160119,./0.png
28.2942046404652,64.5138949046948,1.2.246.586.1.41.1006833487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","683","1000",1.2.246.586.1.41.1006843487026,./0.png
28.5223347642771,64.4093828764285,1.2.246.586.1.41.1006833487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","683","1000",1.2.246.586.1.41.1006843487028,./0.png
30.755027828239,62.5999159825601,1.2.246.586.1.41.1006833617330,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3617330,"722","683","1000",1.2.246.586.1.41.1006843617330,./0.png
30.1533841570845,62.9847016984649,1.2.246.586.1.41.1006843158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","684","1000",1.2.246.586.1.41.1006853158070,./0.png
24.992348368043,64.4794218866889,1.2.246.586.1.41.1006843158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","684","1000",1.2.246.586.1.41.1006853158072,./0.png
24.8514839627807,63.9785902339275,1.2.246.586.1.41.1006843160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","684","999",1.2.246.586.1.41.1006853160119,./0.png
28.3111623721989,64.5187197176742,1.2.246.586.1.41.1006843487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","684","1000",1.2.246.586.1.41.1006853487026,./0.png
28.5430203155145,64.4100611874021,1.2.246.586.1.41.1006843487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","684","1000",1.2.246.586.1.41.1006853487028,./0.png
30.7709832960294,62.6050264635855,1.2.246.586.1.41.1006843617330,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3617330,"722","684","1000",1.2.246.586.1.41.1006853617330,./0.png
30.1445528028943,62.9927259281938,1.2.246.586.1.41.1006853158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","685","1000",1.2.246.586.1.41.1006863158070,./0.png
24.9945765555063,64.4883363512627,1.2.246.586.1.41.1006853158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","685","1000",1.2.246.586.1.41.1006863158072,./0.png
24.8361310426063,63.9845024420547,1.2.246.586.1.41.1006853160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","685","1000",1.2.246.586.1.41.1006863160119,./0.png
