X,Y,id,oid,tila,janteet,alittav_va,alittav_v0,maaraava_j,hyodylline,hyodyllin0,nykyinen_o,katuosoitt,keskipiste,keskipist0,keskipist1,kokonaispi,tunnus,rataosoitt,sijaintiku,tieosoitte,nimi,nykyinenku,vesivaylao,epajatkuvu,painorajoi,paivitetty,korkeusraj,kayttotark,rakenneluo,sijaintisu,vaylanpito,icon_url
24.4338727322516,65.8103305236184,"843935",1.2.246.578.1.15.1400026,kaytossa,"numero:1,rakennetyypit:nimi:Teräksinen palkki, puukantinen,lyhenne:Tpp,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:16.03,yksikko:metri,kohtisuoraPituus:arvo:16.03,yksikko:metri,vapaaaukko:mitta:arvo:15.31,yksikko:metri,kohtisuoraMitta:arvo:15.31,yk",,,"2","arvo:5.5,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"382694","7301166","lat:65.8103305214756,lon:24.4338727299839","arvo:56.86,yksikko:metri",L-26,,"tunnus:851,nimi:Tornio","tienumero:19529,tieosa:1,etaisyys:1115,ajorata:0,nimi:Kaakamojoki pt,sijainti:oletus",Kaakamojoen silta,nimi:Lapin ELY-keskus,"nimi:Kaakamajoki,sijainti:alittava","edeltavanJanteenNumero:1,pituus:arvo:0.44,yksikko:metri,edeltavanJanteenNumero:2,pituus:arvo:0.44,yksikko:metri","ajoneuvonSuurinSallittuAkselilleKohdistuvaMassa:arvo:6,yksikko:tonni,ajoneuvonSuurinSallittu2AkseliselleTelilleKohdistuvaMassa:arvo:8,yksikko:tonni,ajoneuvoyhdistelmanSuurinSallittuMassa:arvo:20,yksikko:tonni",2022-01-11,,"tunnus:11,nimi:Vesistösilta,kuvaus:Vesistön ylittämiseksi rakennettu tiesilta","tunnus:S,nimi:Silta",,"tunnus:TIE,nimi:Tieverkko",./0.png
24.5086261927044,65.8090252664346,"844333",1.2.246.578.1.15.1402108,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen ulokelaatta,lyhenne:Bul,jannetyyppi:nimi:Uloke,tunnus:12,pituus:arvo:3.19,yksikko:metri,kohtisuoraPituus:arvo:3,yksikko:metri,vapaaaukko:mitta:arvo:3.09,yksikko:metri,kohtisuoraMitta:arvo:2.91,yksikko:metri,alik",,,"2","arvo:12.25,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"386104","7300883","lat:65.8090252642971,lon:24.5086261908832","arvo:32.45,yksikko:metri",L-2108,,"tunnus:241,nimi:Keminmaa","tienumero:4,tieosa:426,etaisyys:6659,ajorata:1,nimi:Helsinki-Utsjoki,sijainti:oletus,sijainti:alittava",Metsälän risteyssilta,nimi:Lapin ELY-keskus,,,,2022-01-26,,"tunnus:12,nimi:Risteyssilta,kuvaus:Kahden tien eritasoristeykseen rakennettu, ylijohtavalla tiellä sijaitseva silta","tunnus:S,nimi:Silta","tunnus:E,nimi:E","tunnus:TIE,nimi:Tieverkko",./0.png
24.4454342550367,65.8259297894191,"844345",1.2.246.578.1.15.1402111,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen vinojalkainen laattakehä,lyhenne:Bvlk,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:6.3,yksikko:metri,kohtisuoraPituus:arvo:6.3,yksikko:metri,vapaaaukko:mitta:arvo:6,yksikko:metri,kohtisuoraMitta:arvo:6,yksi",,,"1","arvo:12.25,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"383293","7302882","lat:65.8259297872772,lon:24.4454342528428","arvo:10.46,yksikko:metri",L-2111,,"tunnus:851,nimi:Tornio","tienumero:29,tieosa:1,etaisyys:2368,ajorata:1,nimi:Keminmaa-Tornio-Ruotsinraja,sijainti:oletus,sijainti:alittava",Heikinjuntin alikulkukäytävä,nimi:Lapin ELY-keskus,,,,2022-01-26,,"tunnus:12,nimi:Risteyssilta,kuvaus:Kahden tien eritasoristeykseen rakennettu, ylijohtavalla tiellä sijaitseva silta,tunnus:15,nimi:Alikulkukäytävä,kuvaus:Silta, joka johtaa kevyen-, traktori- yms. lähiliikenteen tai karjan tien alitse","tunnus:S,nimi:Silta","tunnus:N,nimi:N","tunnus:TIE,nimi:Tieverkko",./0.png
24.2419710180213,65.8371151197556,"844371",1.2.246.578.1.15.1402129,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen vinojalkainen laattakehä,lyhenne:Bvlk,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:8.37,yksikko:metri,kohtisuoraPituus:arvo:8.33,yksikko:metri,vapaaaukko:mitta:arvo:8.04,yksikko:metri,kohtisuoraMitta:arvo:8",,,"1","arvo:12.25,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"374057","7304521","lat:65.8371151175938,lon:24.2419710141791","arvo:17.76,yksikko:metri",L-2129,,"tunnus:851,nimi:Tornio","tienumero:29,tieosa:2,etaisyys:1741,ajorata:2,nimi:Keminmaa-Tornio-Ruotsinraja,sijainti:oletus,nimi:Heikkurinsaarentie,sijainti:alittava",Salminpään alikulkukäytävä,nimi:Lapin ELY-keskus,,,,2022-01-26,,"tunnus:12,nimi:Risteyssilta,kuvaus:Kahden tien eritasoristeykseen rakennettu, ylijohtavalla tiellä sijaitseva silta,tunnus:15,nimi:Alikulkukäytävä,kuvaus:Silta, joka johtaa kevyen-, traktori- yms. lähiliikenteen tai karjan tien alitse","tunnus:S,nimi:Silta","tunnus:S,nimi:S","tunnus:TIE,nimi:Tieverkko",./0.png
24.5414038238975,65.7843022202126,"844408",1.2.246.578.1.15.1402235,kaytossa,"numero:1,rakennetyypit:nimi:Jännitetty betoninen jatkuva palkki,lyhenne:jBjp,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:28,yksikko:metri,kohtisuoraPituus:arvo:28,yksikko:metri,vapaaaukko:mitta:arvo:26.7,yksikko:metri,kohtisuoraMitta:arvo:26.7,yksi",,,"2","arvo:16.75,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"387494","7298070","lat:65.7843022180772,lon:24.5414038222485","arvo:100.4,yksikko:metri",L-2235,,"tunnus:240,nimi:Kemi","tienumero:4,tieosa:426,etaisyys:3472,ajorata:2,nimi:Helsinki-Utsjoki,sijainti:oletus,tienumero:70004,tieosa:961,etaisyys:526,ajorata:0,nimi:VT 4:n KEVYEN LIIKENTEEN VÄYLÄT,sijainti:oletus",Vähähaaran silta,nimi:Lapin ELY-keskus,"nimi:Kemijoki Vähähaara,sijainti:alittava",,,2022-01-10,,"tunnus:11,nimi:Vesistösilta,kuvaus:Vesistön ylittämiseksi rakennettu tiesilta","tunnus:S,nimi:Silta","tunnus:W,nimi:W","tunnus:TIE,nimi:Tieverkko",./0.png
24.547745303556,65.7801488138894,"844409",1.2.246.578.1.15.1402232,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen laattakehä,lyhenne:Blk,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:11.27,yksikko:metri,kohtisuoraPituus:arvo:10.6,yksikko:metri,vapaaaukko:mitta:arvo:10.63,yksikko:metri,kohtisuoraMitta:arvo:10,yksikko:met",,,"1","arvo:12,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"387766","7297596","lat:65.7801488117543,lon:24.5477453019387","arvo:23.9,yksikko:metri",L-2232,,"tunnus:240,nimi:Kemi","nimi:Tornionkatu,sijainti:alittava,tienumero:4,tieosa:426,etaisyys:2940,ajorata:2,nimi:Helsinki-Utsjoki,sijainti:oletus",Vilmilän risteyssilta,nimi:Lapin ELY-keskus,,,,2022-05-18,,"tunnus:12,nimi:Risteyssilta,kuvaus:Kahden tien eritasoristeykseen rakennettu, ylijohtavalla tiellä sijaitseva silta","tunnus:S,nimi:Silta","tunnus:W,nimi:W","tunnus:TIE,nimi:Tieverkko",./0.png
24.5414038238975,65.7843022202126,"844414",1.2.246.578.1.15.1402235,kaytossa,"numero:1,rakennetyypit:nimi:Jännitetty betoninen jatkuva palkki,lyhenne:jBjp,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:28,yksikko:metri,kohtisuoraPituus:arvo:28,yksikko:metri,vapaaaukko:mitta:arvo:26.7,yksikko:metri,kohtisuoraMitta:arvo:26.7,yksi",,,"2","arvo:16.75,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"387494","7298070","lat:65.7843022180772,lon:24.5414038222485","arvo:100.4,yksikko:metri",L-2235,,"tunnus:240,nimi:Kemi","tienumero:4,tieosa:426,etaisyys:3472,ajorata:2,nimi:Helsinki-Utsjoki,sijainti:oletus,tienumero:70004,tieosa:961,etaisyys:526,ajorata:0,nimi:VT 4:n KEVYEN LIIKENTEEN VÄYLÄT,sijainti:oletus",Vähähaaran silta,nimi:Lapin ELY-keskus,"nimi:Kemijoki Vähähaara,sijainti:alittava",,,2022-01-10,,"tunnus:11,nimi:Vesistösilta,kuvaus:Vesistön ylittämiseksi rakennettu tiesilta","tunnus:S,nimi:Silta","tunnus:W,nimi:W","tunnus:TIE,nimi:Tieverkko",./0.png
24.5343407631576,65.7879769315145,"844415",1.2.246.578.1.15.1402236,kaytossa,"numero:1,rakennetyypit:nimi:Teräksinen jatkuva palkki, teräsbetonikantinen, liittorakenteinen,lyhenne:Tjpbl,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:39,yksikko:metri,kohtisuoraPituus:arvo:39,yksikko:metri,vapaaaukko:mitta:arvo:37.25,yksikko:metr",,,"4","arvo:16.75,yksikko:metri","arvo:18.09,yksikko:metri","nimi:Väylävirasto,yTunnus:1010547-1",,"387187","7298492","lat:65.7879769293786,lon:24.5343407614727","arvo:322,yksikko:metri",L-2236,,"tunnus:240,nimi:Kemi","tienumero:4,tieosa:426,etaisyys:4000,ajorata:2,nimi:Helsinki-Utsjoki,sijainti:oletus,tienumero:70004,tieosa:969,etaisyys:125,ajorata:0,sijainti:alittava,tienumero:70004,tieosa:961,etaisyys:1075,ajorata:0,nimi:VT 4:n KEVYEN LIIKENTEEN VÄYLÄT,sijainti:olet",Isohaaran silta,nimi:Lapin ELY-keskus,"nimi:Kemijoki,sijainti:alittava",,,2022-01-10,,"tunnus:11,nimi:Vesistösilta,kuvaus:Vesistön ylittämiseksi rakennettu tiesilta,tunnus:15,nimi:Alikulkukäytävä,kuvaus:Silta, joka johtaa kevyen-, traktori- yms. lähiliikenteen tai karjan tien alitse","tunnus:S,nimi:Silta","tunnus:W,nimi:W","tunnus:TIE,nimi:Tieverkko",./0.png
24.5595432499628,65.7899073607718,"844451",1.2.246.578.1.15.1401346,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen palkki,lyhenne:Bp,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:9.5,yksikko:metri,vapaaaukko:mitta:arvo:9.1,yksikko:metri,kohtisuoraMitta:arvo:8.65,yksikko:metri,alikulkukorkeus:arvo:5,yksikko:metri",,,"1","arvo:5.15,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"388348","7298662","lat:65.7899073586374,lon:24.5595432484028","arvo:15,yksikko:metri",L-1346,,"tunnus:240,nimi:Kemi","tienumero:19518,tieosa:1,etaisyys:28,ajorata:0,nimi:Näävi pt,sijainti:oletus",Näävin silta,nimi:Lapin ELY-keskus,"nimi:Akkunuskanava,sijainti:alittava",,"ajoneuvonSuurinSallittuAkselilleKohdistuvaMassa:arvo:8,yksikko:tonni,ajoneuvonSuurinSallittu2AkseliselleTelilleKohdistuvaMassa:arvo:13,yksikko:tonni,ajoneuvonSuurinSallittu3AkseliselleTelilleKohdistuvaMassa:arvo:16,yksikko:tonni",2022-01-11,,"tunnus:11,nimi:Vesistösilta,kuvaus:Vesistön ylittämiseksi rakennettu tiesilta","tunnus:S,nimi:Silta",,"tunnus:TIE,nimi:Tieverkko",./0.png
24.5344738646793,65.7881855570803,"844481",1.2.246.578.1.15.1401567,kaytossa,"numero:1,rakennetyypit:nimi:Teräksinen jatkuva palkki, teräsbetonikantinen,lyhenne:Tjpb,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:39,yksikko:metri,kohtisuoraPituus:arvo:39,yksikko:metri,vapaaaukko:mitta:arvo:37.6,yksikko:metri,kohtisuoraMitta:arv",,,"4","arvo:13,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"387194","7298515","lat:65.7881855549444,lon:24.5344738629951","arvo:322,yksikko:metri",L-1567,,"tunnus:240,nimi:Kemi","tienumero:70004,tieosa:967,etaisyys:116,ajorata:0,sijainti:alittava,tienumero:70004,tieosa:969,etaisyys:144,ajorata:0,sijainti:alittava,tienumero:4,tieosa:426,etaisyys:4011,ajorata:1,nimi:Helsinki-Utsjoki,sijainti:oletus",Isohaaran silta,nimi:Lapin ELY-keskus,"numero:55,nimi:Räiskön venereitti,sijainti:alittava",,,2022-01-10,,"tunnus:11,nimi:Vesistösilta,kuvaus:Vesistön ylittämiseksi rakennettu tiesilta","tunnus:S,nimi:Silta","tunnus:E,nimi:E","tunnus:TIE,nimi:Tieverkko",./0.png
